,0,1,2,3,4
0,0.0,500,-47,-45,-53
1,0.0,500,-47,-45,-51
2,0.0,500,-47,-45,-51
3,0.0,500,-47,-45,-51
4,0.0,500,-47,-45,-51
5,0.0,500,-47,-41,-45
6,0.0,500,-43,-41,-45
7,0.0,500,-45,-45,-49
8,0.0,500,-47,-45,-51
9,0.0,500,-45,-45,-49
10,0.0,500,-45,-45,-49
11,0.0,500,-45,-45,-49
12,0.0,500,-45,-43,-49
13,0.0,500,-45,-45,-51
14,0.0,500,-45,-45,-51
15,0.0,500,-45,-45,-51
16,0.0,500,-45,-43,-51
17,0.0,500,-45,-43,-51
18,0.0,500,-45,-43,-51
19,0.0,500,-45,-43,-51
20,0.0,500,-45,-45,-51
21,0.0,500,-43,-43,-51
22,0.0,500,-45,-43,-51
23,0.0,500,-45,-43,-51
24,0.0,500,-45,-43,-51
25,0.0,500,-45,-43,-49
26,0.0,500,-45,-43,-49
27,0.0,500,-45,-43,-49
28,0.0,500,-45,-43,-49
29,0.0,500,-43,-43,-49
30,0.0,500,-45,-45,-51
31,0.0,500,-45,-43,-49
32,0.0,500,-45,-41,-51
33,0.0,500,-43,-39,-45
34,0.0,500,-45,-45,-53
35,0.0,500,-45,-45,-51
36,0.0,500,-45,-43,-49
37,0.0,500,-45,-43,-49
38,0.0,500,-45,-45,-49
39,0.0,500,-47,-45,-51
40,0.0,500,-47,-45,-51
41,0.0,500,-45,-47,-53
42,0.0,500,-47,-47,-53
43,0.0,500,-47,-45,-51
44,0.0,500,-45,-45,-51
45,0.0,500,-47,-43,-51
46,0.0,500,-47,-43,-51
47,0.0,500,-45,-45,-49
48,0.0,500,-47,-47,-51
49,0.0,500,-45,-45,-53
50,0.0,500,-45,-43,-53
51,0.0,500,-47,-45,-51
52,0.0,500,-47,-47,-51
53,0.0,500,-47,-47,-51
54,0.0,500,-47,-45,-51
55,0.0,500,-47,-47,-51
56,0.0,500,-45,-47,-45
57,0.0,500,-45,-47,-45
58,0.0,500,-45,-47,-51
59,0.0,500,-45,-47,-49
60,0.0,500,-47,-45,-47
61,0.0,500,-45,-47,-51
62,0.0,500,-47,-47,-51
63,0.0,500,-45,-49,-53
64,0.0,500,-45,-49,-53
65,0.0,500,-45,-49,-51
66,0.0,500,-45,-49,-51
67,0.0,500,-47,-47,-51
68,0.0,500,-47,-49,-53
69,0.0,500,-45,-49,-51
70,0.0,500,-45,-49,-51
71,0.0,500,-45,-45,-51
72,0.0,500,-45,-37,-53
73,0.0,500,-45,-47,-51
74,0.0,500,-47,-47,-51
75,0.0,500,-45,-45,-53
76,0.0,500,-45,-39,-45
77,0.0,500,-47,-49,-45
78,0.0,500,-43,-47,-51
79,0.0,500,-47,-47,-47
80,0.0,500,-47,-49,-51
81,0.0,500,-47,-49,-53
82,0.0,500,-47,-49,-53
83,0.0,500,-47,-49,-51
84,0.0,500,-47,-47,-51
85,0.0,500,-47,-51,-47
86,0.0,500,-47,-49,-51
87,0.0,500,-47,-49,-51
88,0.0,500,-47,-47,-49
89,0.0,500,-47,-47,-51
90,0.0,500,-47,-49,-49
91,0.0,500,-47,-49,-51
92,0.0,500,-47,-47,-51
93,0.0,500,-47,-43,-51
94,0.0,500,-47,-43,-51
95,0.0,500,-45,-47,-51
96,0.0,500,-45,-47,-51
97,0.0,500,-47,-45,-51
98,0.0,500,-45,-45,-53
99,0.0,500,-45,-43,-51
100,90.0,500,-41,-39,-37
101,90.0,500,-43,-43,-37
102,90.0,500,-41,-41,-39
103,90.0,500,-41,-43,-41
104,90.0,500,-43,-43,-41
105,90.0,500,-41,-41,-39
106,90.0,500,-39,-43,-41
107,90.0,500,-41,-41,-39
108,90.0,500,-41,-41,-41
109,90.0,500,-41,-41,-41
110,90.0,500,-41,-43,-39
111,90.0,500,-41,-43,-39
112,90.0,500,-41,-41,-39
113,90.0,500,-39,-37,-35
114,90.0,500,-39,-37,-41
115,90.0,500,-43,-41,-39
116,90.0,500,-39,-43,-39
117,90.0,500,-41,-43,-41
118,90.0,500,-41,-43,-39
119,90.0,500,-41,-41,-41
120,90.0,500,-41,-43,-39
121,90.0,500,-41,-43,-39
122,90.0,500,-41,-43,-39
123,90.0,500,-39,-43,-41
124,90.0,500,-41,-45,-41
125,90.0,500,-41,-45,-39
126,90.0,500,-41,-43,-41
127,90.0,500,-39,-39,-37
128,90.0,500,-41,-43,-39
129,90.0,500,-41,-43,-39
130,90.0,500,-41,-43,-41
131,90.0,500,-41,-43,-41
132,90.0,500,-45,-41,-41
133,90.0,500,-41,-43,-41
134,90.0,500,-39,-39,-37
135,90.0,500,-41,-41,-41
136,90.0,500,-39,-43,-39
137,90.0,500,-41,-41,-39
138,90.0,500,-39,-43,-39
139,90.0,500,-39,-41,-39
140,90.0,500,-41,-43,-41
141,90.0,500,-39,-43,-39
142,90.0,500,-39,-43,-41
143,90.0,500,-41,-41,-39
144,90.0,500,-39,-41,-39
145,90.0,500,-43,-41,-41
146,90.0,500,-43,-41,-39
147,90.0,500,-41,-43,-39
148,90.0,500,-41,-43,-39
149,90.0,500,-43,-43,-39
150,90.0,500,-43,-41,-39
151,90.0,500,-41,-39,-35
152,90.0,500,-43,-41,-37
153,90.0,500,-43,-41,-41
154,90.0,500,-43,-41,-39
155,90.0,500,-41,-41,-39
156,90.0,500,-41,-41,-37
157,90.0,500,-39,-43,-39
158,90.0,500,-39,-41,-39
159,90.0,500,-43,-43,-37
160,90.0,500,-43,-43,-39
161,90.0,500,-41,-43,-39
162,90.0,500,-41,-43,-41
163,90.0,500,-39,-43,-39
164,90.0,500,-41,-43,-41
165,90.0,500,-43,-43,-41
166,90.0,500,-41,-43,-39
167,90.0,500,-41,-43,-41
168,90.0,500,-41,-43,-41
169,90.0,500,-43,-43,-41
170,90.0,500,-45,-43,-39
171,90.0,500,-39,-37,-37
172,90.0,500,-41,-41,-37
173,90.0,500,-43,-41,-39
174,90.0,500,-41,-41,-39
175,90.0,500,-41,-41,-39
176,90.0,500,-41,-41,-39
177,90.0,500,-41,-41,-39
178,90.0,500,-41,-41,-39
179,90.0,500,-39,-41,-39
180,90.0,500,-41,-41,-41
