,0,1,2,3,4,
0,250,250,250,250,250,
1,0,500,-43.24,-45.63,-54.17,mean 
2,0,0,1.98,3.22,2.62,std
3,0,500,-49,-77,-63,min
4,0,500,-45,-47,-55,25
5,0,500,-43,-45,-55,50
6,0,500,-43,-45,-53,75
7,0,500,-33,-37,-41,max
8,250,250,250,250,250,
9,90,500,-45.7,-39.14,-45.77,mean 
10,0,0,1.82,1.19,1.82,std
11,90,500,-51,-43,-49,min
12,90,500,-47,-39,-47,25
13,90,500,-45,-39,-45,50
14,90,500,-45,-39,-45,75
15,90,500,-37,-35,-41,max
16,250,250,250,250,250,
17,0,375,-39.94,-45.31,-41.43,
18,0,0,1.53,2.14,1.26,
19,0,375,-43,-57,-53,
20,0,375,-41,-47,-41,
21,0,375,-41,-45,-41,
22,0,375,-39,-45,-41,
23,0,375,-31,-41,-39,
24,250,250,250,250,250,
25,0,250,-48.28,-44.11,-45.83,
26,0,0,2.08,1.51,1.36,
27,0,250,-57,-47,-49,
28,0,250,-49,-45,-47,
29,0,250,-49,-45,-45,
30,0,250,-47,-43,-45,
31,0,250,-37,-41,-39,
32,250,250,250,250,250,
33,200.5,625,-46.72,-41.59,-45.23,
34,0,0,1.63,2.76,2.36,
35,200.5,625,-51,-73,-53,
36,200.5,625,-47,-43,-47,
37,200.5,625,-47,-41,-45,
38,200.5,625,-45,-41,-43,
39,200.5,625,-39,-37,-39,
40,250,250,250,250,250,
41,187.1,125,-34.91,-39.18,-45.4,
42,0,0,1.78,1.43,1.72,
43,187.1,125,-39,-43,-49,
44,187.1,125,-37,-41,-47,
45,187.1,125,-35,-39,-45,
46,187.1,125,-33,-39,-45,
47,187.1,125,-31,-35,-39,
48,250,250,250,250,250,
49,90,731,-37.62,-43.49,-30.89,
50,0,0,1.46,1.85,3.1,
51,90,731,-41,-47,-73,
52,90,731,-39,-45,-31,
53,90,731,-37,-43,-31,
54,90,731,-37,-43,-29,
55,90,731,-33,-37,-27,
56,250,250,250,250,250,
57,200.5,250,-43.25,-39.52,-45.8,
58,0,0,1.87,1.39,1.18,
59,200.5,250,-47,-43,-47,
60,200.5,250,-45,-41,-47,
61,200.5,250,-43,-39,-45,
62,200.5,250,-43,-39,-45,
63,200.5,250,-35,-31,-43,
64,250,250,250,250,250,
65,0,125,-38.84,-45.47,-47.89,
66,0,0,1.26,1.67,1.23,
67,0,125,-41,-49,-51,
68,0,125,-39,-47,-49,
69,0,125,-39,-45,-47,
70,0,125,-39,-45,-47,
71,0,125,-33,-35,-43,
72,250,250,250,250,250,
73,157.5,0,-40.86,-41.52,-46,
74,0,0,1.61,1.77,1.22,
75,157.5,0,-43,-47,-49,
76,157.5,0,-43,-43,-47,
